flashJedecID,configFile,flashSize
ef4014,W25Q80DV_ef4014.conf,1
ef4015,GD25Q16E_c84015.conf,2
ef4016,W25Q16JV_ef4015.conf,4
ef6014,W25Q16JV_ef4015.conf,1
ef6015,W25Q16JV_ef4015.conf,2
ef6016,W25Q16JV_ef4015.conf,4
ef6018,W25Q16JV_ef4015.conf,16
ef8016,W25Q16JV_ef4015.conf,4
ef7015,W25Q16JV_ef4015.conf,2
ef7018,W25Q16JV_ef4015.conf,16
5e3213,KH25V16_c22015.conf,0.5
5e3214,KH25V16_c22015.conf,1
5e3415,W25Q16JV_ef4015.conf,2
5e6013,W25Q16JV_ef4015.conf,0.5
5e6014,W25Q16JV_ef4015.conf,1
5e6015,W25Q16JV_ef4015.conf,2
5e4015,W25Q16JV_ef4015.conf,2
5e4016,W25Q16JV_ef4015.conf,4
514013,MD25D40_514013.conf,0.5
c84014,GD25Q16E_c84015.conf,1
c84015,GD25Q16E_c84015.conf,2
c84016,W25Q16JV_ef4015.conf,4
c84018,W25Q16JV_ef4015.conf,16
c86014,GD25Q16E_c84015.conf,1
c86015,GD25Q16E_c84015.conf,2
c86016,GD25Q16E_c84015.conf,4
c86017,GD25Q16E_c84015.conf,8
c86514,GD25WQ16E_c86515.conf,1
c86515,GD25WQ16E_c86515.conf,2
c86516,GD25Q16E_c84015.conf,4
c22013,KH25V16_c22015.conf,0.5
c22014,KH25V16_c22015.conf,1
c22015,KH25V16_c22015.conf,2
c22534,MX25V8035F_c22534.conf,1
c22535,MX25V1633FM_c22535.conf,2
c22536,MX25V8035F_c22534.conf,4
0b4013,MD25D40_514013.conf,0.5
0b4015,GD25Q16E_c84015.conf,2
0b4016,GD25Q16E_c84015.conf,4
0b6014,GD25Q16E_c84015.conf,1
0b6016,GD25Q16E_c84015.conf,4
684013,MD25D40_514013.conf,0.5
684014,W25Q16JV_ef4015.conf,1
684015,W25Q16JV_ef4015.conf,2
684016,W25Q16JV_ef4015.conf,4
684017,W25Q16JV_ef4015.conf,8
684018,W25Q16JV_ef4015.conf,16
204014,W25Q16JV_ef4015.conf,1
204015,W25Q16JV_ef4015.conf,2
204016,W25Q16JV_ef4015.conf,4
204017,W25Q16JV_ef4015.conf,8
a14014,GD25Q16E_c84015.conf,1
eb6015,GD25Q16E_c84015.conf,2
