flashJedecID,configFile,flashSize
ef4014,W25Q80DV_ef4014.conf,1
ef4015,W25Q16JV_ef4015.conf,2
ef4016,W25Q16JV_ef4015.conf,4
ef4017,W25Q16JV_ef4015.conf,8
ef4018,W25Q64JW_ef6017.conf,16
ef4019,W25Q256FV_ef4019.conf,32
ef6014,W25Q16JV_ef4015.conf,1
ef6015,W25Q16JV_ef4015.conf,2
ef6016,W25Q16JV_ef4015.conf,4
ef6017,W25Q64JW_ef6017.conf,8
ef6018,W25Q64JW_ef6017.conf,16
ef7015,W25Q16JV_ef4015.conf,2
ef7018,W25Q64JW_ef6017.conf,16
ef8016,W25Q16JV_ef4015.conf,4
ef8018,W25Q64JW_ef6017.conf,16
c84014,GD25Q80E_c84014.conf,1
c84015,GD25Q80E_c84014.conf,2
c84016,GD25Q32C_c84016.conf,4
c84017,GD25Q32C_c84016.conf,8
c84018,GD25Q32C_c84016.conf,16
c86014,GD25Q80E_c84014.conf,1
c86015,GD25Q80E_c84014.conf,2
c86016,GD25Q80E_c84014.conf,4
c86017,GD25Q80E_c84014.conf,8
c86018,GD25Q80E_c84014.conf,16
c86514,GD25WQ80E_c86514.conf,1
c86515,GD25WQ80E_c86514.conf,2
c86516,GD25Q80E_c84014.conf,4
5e3415,GD25Q32C_c84016.conf,2
5e4015,GD25Q32C_c84016.conf,2
5e4016,GD25Q32C_c84016.conf,4
5e4017,GD25Q32C_c84016.conf,8
5e4018,GD25Q32C_c84016.conf,16
5e6014,GD25Q32C_c84016.conf,1
5e6015,GD25Q32C_c84016.conf,2
c22018,MX25L128_c22018.conf,16
c22019,MX25L256_c22019.conf,32
c22539,MX25L256_c22019.conf,32
204014,W25Q16JV_ef4015.conf,1
204015,W25Q16JV_ef4015.conf,2
204016,W25Q16JV_ef4015.conf,4
204017,W25Q16JV_ef4015.conf,8
0b4015,GD25Q80E_c84014.conf,2
0b4016,GD25Q80E_c84014.conf,4
0b4017,GD25Q80E_c84014.conf,8
0b4018,GD25Q80E_c84014.conf,16
0b6014,GD25Q80E_c84014.conf,1
0b6016,GD25Q80E_c84014.conf,4
684014,GD25Q32C_c84016.conf,1
684015,GD25Q32C_c84016.conf,2
684016,GD25Q32C_c84016.conf,4
684017,GD25Q32C_c84016.conf,8
684018,GD25Q32C_c84016.conf,16
856016,W25Q16JV_ef4015.conf,4
856017,W25Q16JV_ef4015.conf,8
856018,W25Q16JV_ef4015.conf,16
